email,senha
0.7641179033973601@mail.com,user123
0.8784640311815125@mail.com,user123
0.2140857887016642@mail.com,user123
0.7410660272501789@mail.com,user123
0.7939043640766983@mail.com,user123
0.4010026753248675@mail.com,user123
0.26291259617346585@mail.com,user123
0.8307170661038842@mail.com,user123
0.32257011125904006@mail.com,user123
0.2729118967971224@mail.com,user123
0.2901033768648972@mail.com,user123
0.47710560391720636@mail.com,user123
0.42722533600313234@mail.com,user123
0.2073826681254985@mail.com,user123
0.7365848386256921@mail.com,user123
0.9773832974881069@mail.com,user123
0.9835891470086131@mail.com,user123
0.4736078908769796@mail.com,user123
